CGPA	Python_Skill	SQL_Skill	Machine_Learning_Skill	Projects	Internship	Communication_Skill	Problem_Solving_Skill	Deep_Learning_Skill	Data_Analysis_Skill	Job_Role
9.62	4	3	1	6	1	4	1	3	3	ML Engineer
7.6	2	4	4	2	0	4	4	2	2	ML Engineer
7.97	5	3	2	4	0	1	3	4	4	AI Engineer
9.06	4	3	2	5	0	1	3	4	4	ML Engineer
7.72	2	3	5	1	0	3	5	2	3	ML Engineer
6.7	3	2	2	2	0	4	5	2	4	Data Analyst
7.5	1	2	1	4	1	4	5	1	3	Data Analyst
7.57	1	3	1	1	0	2	4	2	5	Data Analyst
6.37	5	1	2	4	1	5	5	5	2	AI Engineer
7.37	5	4	5	1	1	3	4	4	4	ML Engineer
6.93	1	4	3	3	0	2	5	5	3	AI Engineer
8.43	2	2	5	2	1	1	3	5	5	AI Engineer
7.63	1	2	2	2	1	5	1	5	2	AI Engineer
7.35	2	2	2	3	0	4	5	1	1	ML Engineer
7.5	2	4	1	2	1	3	5	2	5	Data Analyst
7.8	2	4	2	4	1	2	2	1	5	Data Analyst
8.16	3	1	3	1	1	1	3	1	4	ML Engineer
6.7	1	3	5	2	1	1	3	2	3	ML Engineer
6.66	5	1	2	1	1	1	4	2	3	ML Engineer
8.59	4	3	4	4	0	3	4	1	4	ML Engineer
7.23	4	2	4	1	1	1	2	5	4	AI Engineer
6.32	1	2	2	5	1	1	5	3	2	AI Engineer
8	4	3	5	1	1	2	5	4	1	ML Engineer
8.02	5	2	3	2	1	4	5	4	1	ML Engineer
6.22	1	2	1	1	1	3	3	5	2	AI Engineer
7.81	4	4	5	2	1	1	1	1	4	Data Analyst
8.26	2	5	5	2	0	4	5	2	3	Data Analyst
7.94	4	1	1	4	1	3	1	2	4	Data Analyst
8.17	3	2	5	1	0	1	1	3	3	ML Engineer
6.34	5	5	5	1	1	4	2	3	2	ML Engineer
7.9	1	3	5	4	1	5	1	4	4	AI Engineer
7.33	2	2	2	2	1	3	4	3	4	Data Analyst
7.17	2	3	4	1	1	1	3	2	5	Data Analyst
8.38	2	1	3	1	1	2	2	3	5	Data Analyst
8.93	2	1	4	2	0	3	1	5	2	AI Engineer
9.21	2	4	4	4	0	5	2	3	4	ML Engineer
8.78	1	3	4	2	0	5	4	3	2	Data Analyst
7.5	4	4	3	1	1	5	4	1	5	Data Analyst
7.92	3	2	4	5	0	5	2	1	4	ML Engineer
8.29	5	5	3	0	1	3	1	2	5	ML Engineer
7.71	4	3	1	3	0	4	3	1	2	ML Engineer
7.72	1	4	1	3	1	4	4	3	1	ML Engineer
8.34	1	1	5	2	1	4	1	5	1	AI Engineer
